water_id,sample_id,ca_ppm,k_ppm,mg_ppm,na_ppm,p_ppm,s_ppm
1,1,8.16,3.63,1.98,5.57,0.08,7.52
2,2,12.99,4.8,3.21,6.61,0.1,10.67
3,3,11.18,2.69,2.65,4.2,0.05,9.06
4,4,13.87,6.16,3.66,6.64,0.07,5.29
5,5,16.45,9.23,3.89,4.58,0.03,9.09
6,6,10.75,2.46,2.13,3.81,0.05,6.76
7,7,10.48,5.28,2.52,5.06,0.06,7.68
8,8,9.32,2.13,1.67,3.69,0.07,4.62
9,9,12.6,7.6,2.9,5.3,0.13,7.92
10,10,13.17,13.22,4.27,4.61,0.27,6.6
11,11,14.73,10.59,4.88,3.57,0.85,5.17
12,12,9.93,9.71,4.5,3.83,1.03,3.48
13,13,14.98,8,4.34,5.18,0.11,10.71
14,14,7.95,2.88,1.88,6.02,0.12,4.94
15,16,9.15,4.15,2.11,4.44,0.19,7.02
16,17,6.53,3.18,1.43,15.14,0.25,4.99
17,18,6.19,3.05,1.66,3.42,0.1,3.19
18,19,8.07,3.8,1.86,3.23,0.05,6.44
19,20,14.12,2.55,2.75,4.49,0.44,3.77
20,21,12.4,3.65,2.79,3.99,0.26,5.86
21,23,11.3,5.75,2.67,4.67,0.09,2.8
22,24,14.08,5.47,3.17,5.7,0.16,8.15
23,26,17.325,3.374,4.273,4.264,0.032,12.923
24,28,11.434,4.969,2.674,4.923,0.073,6.042
25,29,6.991,2.244,1.504,5.644,0.037,1.313
26,30,10.365,5.283,2.321,26.167,0.65,5.596
27,31,17.584,10.909,4.378,4.042,0.042,4.737
28,32,7.335,2.445,1.736,2.521,0.057,3.04
29,33,12.71,7.57,3.179,5.24,0.091,6.256
30,35,7.054,5.406,1.41,18.994,1.464,0.885
31,36,7.313,10.684,2.248,3.352,0.304,2.338
32,39,10.503,11.421,5.196,6.477,1.44,0.198
33,40,12.813,9.576,3.691,3.506,0.108,3.658
34,41,6.891,2.92,1.613,3.685,0.114,1.007
35,42,12.29,5.423,2.926,4.625,0.155,3.194
36,43,7.317,3.14,1.812,6.936,0.135,2.173
37,44,9.204,3.493,2.373,3.866,0.09,3.518
38,45,6.733,4.414,1.702,2.734,0.056,2.467
39,46,12.062,1.554,2.578,3.133,0.251,3.646
40,47,8.118,2.154,1.844,3.104,0.06,3.195
41,48,12.655,3.707,2.883,3.654,0.125,2.48
42,49,8.49,5.451,2.063,10.4,0.278,0.412
43,50,12.125,5.46,2.793,4.876,0.112,2.8